epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3451,1.39891,4.47781,1.24486,0.00161,0.2,0.0398,0.02786,1.16409,4.19899,1.14147,7.69e-06,7.69e-06,7.69e-06
2,21.8922,1.28793,4.28223,1.14202,0.00194,0.2,0.03317,0.02653,1.11216,4.19525,1.12967,2.29177e-05,2.29177e-05,2.29177e-05
3,30.0478,1.59785,4.52113,1.19943,0.01611,0.23333,0.06188,0.03626,1.05079,4.17554,1.11509,3.79425e-05,3.79425e-05,3.79425e-05
4,38.1281,1.46971,4.61057,1.30439,0.02182,0.26667,0.07846,0.04876,1.02654,4.16423,1.10196,5.27642e-05,5.27642e-05,5.27642e-05
5,46.0799,1.1479,4.2776,1.13029,0.02528,0.46667,0.13094,0.09193,0.9855,4.16584,1.07989,6.73829e-05,6.73829e-05,6.73829e-05
6,54.1941,1.13773,3.99024,1.05211,0.03047,0.5,0.23725,0.17644,0.97398,4.14618,1.04671,8.17985e-05,8.17985e-05,8.17985e-05
7,62.12,1.76141,4.50689,1.17243,0.0353,0.53333,0.10161,0.06257,0.95191,4.13827,1.03098,9.60112e-05,9.60112e-05,9.60112e-05
8,70.3187,0.96227,4.01312,0.94389,0.03621,0.53333,0.26488,0.06614,0.97198,4.14612,1.02365,0.000110021,0.000110021,0.000110021
9,78.2371,1.82337,4.33263,1.16006,0.03431,0.5,0.24809,0.10087,0.88704,4.09458,0.99039,0.000123827,0.000123827,0.000123827
10,86.2626,1.457,4.08952,1.13876,0.02939,0.3,0.23016,0.13288,0.90409,4.07987,0.99017,0.000137431,0.000137431,0.000137431
11,94.1659,2.10732,5.69169,1.45615,0.03223,0.33333,0.23759,0.12291,0.85505,4.06952,0.98273,0.000150832,0.000150832,0.000150832
12,101.97,1.18455,3.86806,0.99863,0.03505,0.6,0.25206,0.13514,0.86085,4.04305,0.98015,0.000164029,0.000164029,0.000164029
13,109.803,1.22923,3.38075,1.06445,0.03988,0.66667,0.31283,0.26544,0.90906,3.9709,0.96632,0.000177024,0.000177024,0.000177024
14,117.538,1.25506,3.38764,0.99819,0.03902,0.75,0.34348,0.26688,0.86564,3.86304,0.93342,0.000189815,0.000189815,0.000189815
15,125.538,1.40668,3.6768,1.76848,0.02694,0.55,0.34772,0.24829,0.92357,3.73676,0.91148,0.000202404,0.000202404,0.000202404
16,133.366,1.34375,3.45649,1.00441,0.03085,0.8,0.25686,0.17757,1.03598,3.62049,0.92289,0.000214789,0.000214789,0.000214789
17,141.418,1.31955,2.8082,0.99936,0.90506,0.13333,0.31272,0.21674,1.06164,3.50617,0.91595,0.000226972,0.000226972,0.000226972
