epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26188,1.52775,4.36618,1.25079,0,0,0,0,1.92459,4.59288,1.18693,7.69e-06,7.69e-06,7.69e-06
2,16.557,1.56169,4.62119,1.31186,0,0,0,0,1.91577,4.58886,1.18578,2.27845e-05,2.27845e-05,2.27845e-05
3,24.6118,1.36918,4.53996,1.16815,0,0,0,0,1.90424,4.59584,1.2003,3.74984e-05,3.74984e-05,3.74984e-05
4,32.3538,1.58411,4.49062,1.29199,0,0,0,0,1.90215,4.59186,1.21262,5.18316e-05,5.18316e-05,5.18316e-05
5,40.0513,1.33594,4.46039,1.15355,0,0,0,0,1.87355,4.58637,1.20516,6.57841e-05,6.57841e-05,6.57841e-05
6,47.7691,1.30288,4.36675,1.15034,0,0,0,0,1.80994,4.57702,1.18126,7.9356e-05,7.9356e-05,7.9356e-05
7,55.6189,1.27172,4.25268,1.15101,0,0,0,0,1.76944,4.56126,1.17303,9.25472e-05,9.25472e-05,9.25472e-05
8,63.7677,1.14526,4.15719,1.05764,0,0,0,0,1.73929,4.552,1.15889,0.000105358,0.000105358,0.000105358
9,71.7126,1.15532,4.0473,1.04982,0,0,0,0,1.75302,4.55101,1.15977,0.000117788,0.000117788,0.000117788
10,80.3134,1.04364,3.85226,1.01077,0,0,0,0,1.71641,4.55044,1.133,0.000129837,0.000129837,0.000129837
11,88.7984,1.20569,3.82638,1.01795,0,0,0,0,1.67657,4.54139,1.11261,0.000141506,0.000141506,0.000141506
12,96.8948,1.15316,3.67503,1.00116,0,0,0,0,1.67657,4.54139,1.11261,0.000152794,0.000152794,0.000152794
13,105,1.16181,3.46499,0.99528,0,0,0,0,1.64331,4.52004,1.09591,0.000163701,0.000163701,0.000163701
14,113.071,1.13275,3.58005,0.97922,0,0,0,0,1.65225,4.499,1.09059,0.000174228,0.000174228,0.000174228
15,121.117,0.96396,3.23646,0.94814,0,0,0,0,1.65225,4.499,1.09059,0.000184374,0.000184374,0.000184374
16,129.383,1.08655,3.33499,0.93897,0,0,0,0,1.6874,4.46505,1.09269,0.000194139,0.000194139,0.000194139
